Date,Open,Close,High,Low,Volume_(BTC),Volume_(Currency),Weighted_Price
2015-05-03,236.92,240.74,242.97,236.53,6780.12981183,1631796.814840164,240.50937590083333
2015-05-04,240.74,236.22,243.99,235.7,9637.10577559,2316070.906761913,240.45314916345836
2015-05-05,236.2,235.68,237.87,232.0,9397.1639111,2211410.290999715,235.38228220784723
2015-05-06,235.78,230.46,236.77,228.38,8831.48675548,2060414.2314879347,233.98808322014585
2015-05-07,230.57,237.59,239.18,228.67,8460.58132929,1984016.7729680615,233.7077915381736
2015-05-08,237.59,245.9,247.06,236.35,9010.96945374,2193083.971239632,241.5976325826736
2015-05-09,245.86,242.69,247.6,240.0,6286.55381888,1528171.3670335405,242.9187946946736
2015-05-10,242.68,240.86,244.89,239.63,4570.46866649,1105468.96122308,242.1124008179375
2015-05-11,240.86,241.21,245.49,239.5,8280.82894264,2007489.1777720104,242.20625417529166
2015-05-12,241.21,242.67,243.0,240.37,6816.78240349,1651434.903032365,242.22939757576387
2015-05-13,242.68,236.93,244.13,235.54,11742.74989715,2832250.9168382916,241.84383537247223
2015-05-14,236.91,237.99,240.0,232.61,9888.91277443,2349391.063832371,237.39977179074998
2015-05-15,237.98,237.34,239.0,236.89,9836.17895237,2339257.137383766,237.8658496377014
2015-05-16,237.33,237.27,237.99,235.48,2689.12705471,638135.4364672418,237.17510759343054
2015-05-17,237.27,236.83,238.45,236.62,6070.33371928,1441100.7338033249,237.3785694762153
2015-05-18,236.8,234.19,237.89,231.66,7663.33766491,1806386.165987267,236.00628955584722
2015-05-19,234.22,233.58,234.92,231.53,7684.34740602,1791978.1676323921,233.3055457547222
2015-05-20,233.58,234.63,235.0,232.62,6998.41668295,1638496.8014890358,234.11338116752083
2015-05-21,234.64,236.74,236.74,234.47,6583.21625939,1552060.026616803,235.82220540432638
2015-05-22,236.68,240.08,242.0,235.11,8364.97337804,2000093.9272447608,238.1895614219028
2015-05-23,239.79,239.69,240.64,238.49,3989.79645208,956098.5062735128,239.78126845606252
2015-05-24,239.66,240.53,242.0,238.27,4296.08968473,1033218.5805017399,240.28597903225693
2015-05-25,240.53,237.3,241.4,236.71,4688.6238837,1115945.9712967768,238.3345727300278
2015-05-26,237.49,236.99,238.34,235.81,7114.574802,1689698.2262521733,237.51268944545137
2015-05-27,236.99,237.97,238.75,236.47,6707.83328406,1593506.760610461,237.6916377482639
2015-05-28,237.95,237.15,238.48,236.23,6768.90002509,1606281.1014063875,237.31764901124305
2015-05-29,237.15,236.06,237.68,235.01,6317.51364428,1495031.884436007,236.67538206227084
2015-05-30,236.1,233.7,236.16,231.0,6897.59499156,1610446.9139039186,233.61005984778473
2015-05-31,233.7,230.84,233.79,229.16,7148.42626254,1655799.90778997,232.07616968525693
2015-06-01,230.79,222.89,230.99,221.58,10633.79792222,2395551.225019395,226.36168255906247
2015-06-02,223.06,226.26,227.45,221.84,9182.37934165,2067822.445515873,224.96934301932637
2015-06-03,226.26,225.1,227.0,223.82,6619.97956404,1495468.702487558,225.84063593755556
2015-06-04,225.09,223.74,226.0,223.56,6421.48271179,1444993.2526029407,225.11726746106947
2015-06-05,223.74,224.76,226.74,223.01,6913.29455354,1555880.308343741,224.8649701310903
2015-06-06,224.76,225.61,226.09,224.27,4193.87481903,944027.3782293239,225.10304887825
2015-06-07,225.58,224.12,225.82,222.88,4156.29919693,932229.6050424848,224.47582271652084
2015-06-08,224.2,228.63,230.16,223.92,7905.0345757000005,1799966.2946884774,227.09980004615278
2015-06-09,228.67,228.97,232.06,228.34,6292.38978355,1448532.3985808773,230.01285048204167
2015-06-10,229.0,229.9,230.45,227.98,6389.5207971,1463456.4518622153,229.08438235786804
